allocation,method,frequency,portfolio_size,final_return,sharpe,max_drawdown,total_costs
"(0.7, 0.3)",risk_parity,daily,100000.0,0.18268163509831248,0.6405760712000795,-0.07720668501258121,10336.635837511103
"(0.7, 0.3)",risk_parity,daily,1.0e6,0.2439586347850129,0.8233105793634445,-0.07374264550917986,50157.43634304409
"(0.7, 0.3)",risk_parity,weekly,10000.0,0.12319436709893838,0.4527716981238032,-0.08297965650694572,1511.9644270562146
"(0.7, 0.3)",risk_parity,weekly,100000.0,0.2473900414526946,0.8275786181352549,-0.07368622378872736,4312.012211296314
"(0.7, 0.3)",risk_parity,weekly,1.0e6,0.25926702306419735,0.8628376502479309,-0.07298976197445395,32734.42818477931
"(0.7, 0.3)",risk_parity,biweekly,10000.0,0.19549089965574895,0.6745597791855468,-0.07680098343542918,873.5875976267589
"(0.7, 0.3)",risk_parity,biweekly,100000.0,0.2575907839700624,0.8564457246779872,-0.07324828868094613,3327.114014219887
"(0.7, 0.3)",risk_parity,biweekly,1.0e6,0.263261062607435,0.8739671182537087,-0.0728996360634605,28275.96804261874
"(0.7, 0.3)",risk_parity,monthly,10000.0,0.23319252563037263,0.7875511742228681,-0.07422463607273189,539.5989693275728
"(0.7, 0.3)",risk_parity,monthly,100000.0,0.2631606590684632,0.8721201931498669,-0.07269751432825156,2774.1999058263373
"(0.7, 0.3)",risk_parity,monthly,1.0e6,0.26560675119942,0.880204622474805,-0.07254743192685431,25535.94299670683
"(0.8, 0.2)",markowitz,daily,10000.0,-0.31667486457407235,-0.47974442193204414,-0.4016751136449477,8242.936868696941
"(0.8, 0.2)",markowitz,daily,100000.0,0.2447499046809294,0.4106508671593476,-0.2876790694554603,39972.419442887694
"(0.8, 0.2)",markowitz,daily,1.0e6,0.23912614918619557,0.4041348437655296,-0.2995086017099574,407721.335571643
"(0.8, 0.2)",markowitz,weekly,10000.0,0.33076112862395357,0.5176217553178138,-0.2675494198670567,3556.0194143982926
"(0.8, 0.2)",markowitz,weekly,100000.0,0.44382243132873267,0.641549298847759,-0.25874485660445734,27139.773067445065
